Date,Stock,Close,Volume
2019-12-23,INTC,58.93974304,23593000
2019-12-24,INTC,59.11886215,6313200
2019-12-26,INTC,59.52685165,11480300
2019-12-27,INTC,59.78557968,14085800
2019-12-30,INTC,59.32783127,12750500
2019-12-31,INTC,59.55670166,14432900
2019-01-02,CSCO,41.46505737,23833500
2019-01-03,CSCO,39.95706177,29606700
2019-01-04,CSCO,41.75692368,27515000
2019-01-07,CSCO,42.0390625,19488100
2019-01-08,CSCO,42.37958527,22071400
2019-01-09,CSCO,42.14608765,22640000
2019-01-10,CSCO,42.06826019,23277600
2019-01-11,CSCO,42.31148148,17378400
2019-01-14,CSCO,42.0390625,16243600
2019-01-15,CSCO,42.82711792,17744100
2019-01-16,CSCO,42.76874161,17262500
2019-01-17,CSCO,43.01196671,18826200
2019-01-18,CSCO,43.80974579,24416500
2019-01-22,CSCO,43.56652069,21338400
2019-01-23,CSCO,44.22809219,24770400
2019-01-24,CSCO,44.37403488,17360600
2019-01-25,CSCO,44.87994003,24196600
2019-01-28,CSCO,44.51023865,18296700
2019-01-29,CSCO,44.7145462,14470100
2019-01-30,CSCO,45.4442215,18329300
2019-01-31,CSCO,46.00850677,23693600
2019-02-01,CSCO,46.05715179,16266500
2019-02-04,CSCO,46.06687546,15743100
2019-02-05,CSCO,45.97931671,16946300
2019-02-06,CSCO,46.19335938,18160500
2019-02-07,CSCO,45.43449783,20331200
2019-02-08,CSCO,45.91121292,18407100
2019-02-11,CSCO,46.29064941,19363600
2019-02-12,CSCO,46.59224701,23909200
2019-02-13,CSCO,46.21281815,28325600
2019-02-14,CSCO,47.08842468,47598600
2019-02-15,CSCO,48.09051514,30189600
2019-02-19,CSCO,48.30455399,20204500
2019-02-20,CSCO,48.28509521,17550900
2019-02-21,CSCO,48.07105637,17120600
2019-02-22,CSCO,48.75209045,22008100
2019-02-25,CSCO,49.41366196,24264300
2019-02-26,CSCO,49.79309082,19382500
2019-02-27,CSCO,50.19197845,19940900
2019-02-28,CSCO,50.36710739,30708500
2019-03-01,CSCO,50.01686096,23683700
2019-03-04,CSCO,49.77363586,18725900
2019-03-05,CSCO,49.90983963,14994200
2019-03-06,CSCO,50.26980972,19686900
2019-03-07,CSCO,49.90011215,22209200
2019-03-08,CSCO,49.6860733,18182200
2019-03-11,CSCO,50.51303864,17859300
2019-03-12,CSCO,50.73680878,19485300
2019-03-13,CSCO,51.16488647,20568000
